original_csv_line,subject_id,constant_fit_mean,ridge_1,ridge_100,knn_5,knn_25,hist_gradient_boosting
440,4,12.244761397849464,13.855865239412081,13.67071498082761,18.012599999999999,13.039323999999999,14.941518665058611
441,4,11.711761397849465,11.56886578305464,11.257431619710886,17.275399999999994,16.395879999999998,12.478992919752091
442,4,11.178761397849463,9.4898771865791396,9.8416850384947985,17.778799999999997,15.800639999999998,15.484184699737018
443,4,10.643761397849465,14.018749909500306,14.068542096392443,14.282799999999996,14.302319999999996,13.191453928291812
444,4,10.040761397849463,13.220438600636323,13.766370175820319,14.965200000000001,13.73268,13.385926751851825
445,4,9.5817613978494638,12.512260718847896,12.05163118834397,16.921999999999997,15.42984,11.22623025848179
446,4,9.0477613978494649,8.9771453651801156,8.6758161505785498,12.869400000000001,13.544840000000002,12.965643420817011
447,4,8.5157613978494648,11.355789459582679,10.238582318411483,11.746,8.2177959999999981,9.8072034055659696
448,4,7.9797613978494635,2.5890414966127455,4.0037059435084625,9.0447999999999968,10.535484000000002,6.3715035238693307
449,4,7.4517613978494648,6.7867168736591541,7.1521680790712754,7.0936000000000003,6.8591479999999994,8.4591398806052869
450,4,6.919761397849463,7.3650133853939579,6.94603181057726,12.115600000000001,11.06108,11.240082794444373
451,4,5.9697613978494637,8.670059641820032,8.0075361519248709,10.623399999999997,6.6089919999999971,9.3809994548550222
452,4,5.7637613978494642,7.3982231899114659,6.8389518303387788,8.4764000000000017,8.586228000000002,7.8112293188145365
453,4,5.6287613978494626,7.3778422065839813,7.3240300332308124,8.7796000000000021,7.8846600000000002,7.3410152637129329
454,4,5.4717613978494626,11.196214165576954,10.205273853272477,8.2065999999999981,6.214100000000002,8.9575787406339025
455,4,5.3117613978494624,6.6158646512053387,6.7754741629049384,10.423999999999999,10.026759999999996,10.72329125816422
456,4,5.1557613978494636,5.7478877763672322,5.7398225019054365,9.7576000000000001,7.4050839999999987,7.7218475840428944
457,4,4.9987613978494636,11.900663101975947,9.1621690342554878,11.662999999999997,9.0333999999999968,7.1361561449056623
458,4,4.8427613978494648,7.6718468311640571,6.7619687273268134,11.267600000000005,10.49896,9.0068945111848429
459,4,4.6837613978494659,7.2531895609272894,6.6971064952093258,8.9658000000000051,9.4905200000000001,8.9648201497056519
460,4,4.5277613978494635,10.504206038764231,8.5883406955963082,9.7987999999999964,7.8599199999999989,7.5013832229977027
461,4,4.3517613978494651,8.6246169903731129,7.8083446616493362,8.6258000000000017,6.8817919999999972,7.9395932535844551
462,4,4.2117613978494646,7.6135538856545786,6.6574763069519882,9.7788000000000004,6.6084440000000058,8.5948976706357954
463,4,12.244761397849464,12.717778758113718,12.269034642191235,17.808399999999999,16.0306,14.335267436931593
464,4,11.711761397849465,9.1613880092799249,12.478410051861946,15.805200000000003,15.650080000000003,9.0059764312230719
465,4,11.178761397849463,14.830099123185974,13.815368289896039,14.4984,14.201039999999999,13.692427911547778
466,4,10.643761397849465,13.282547153403693,12.090418087275511,15.879999999999997,14.855359999999999,13.295072994591349
467,4,10.040761397849463,7.0025921215673446,9.8657635701989346,11.097,13.243039999999999,6.6038972622391885
468,4,9.5817613978494638,13.547245291234285,13.871032552058173,12.421800000000003,11.594980000000001,12.746453837758571
469,4,9.0477613978494649,13.595928535038707,12.961582262527925,13.092999999999998,10.543640000000002,15.405441871466072
470,4,8.5157613978494648,6.2268737033821342,7.3992391501781132,11.450199999999997,10.089267999999999,11.483485325128465
471,4,7.9797613978494635,13.886686931170706,13.031131048030696,12.532399999999997,10.715667999999999,14.44808297674942
472,4,7.4517613978494648,6.45575158881371,6.5460605816283408,9.5167999999999981,6.3314600000000016,7.7400816886347581
473,4,6.919761397849463,6.1819902098305768,6.7065796604373524,7.6351999999999975,9.4147600000000011,10.248338815652001
474,4,5.9697613978494637,4.4550713682738916,4.4763660227379063,9.5028000000000006,10.945400000000003,8.5291126340822139
475,4,5.7637613978494642,7.6326181250582046,7.9774283237454959,11.730800000000006,8.4920279999999977,7.4190960400065968
476,4,5.6287613978494626,13.12013354228332,10.718341734818019,10.381799999999998,9.5033199999999987,9.7180104218980787
477,4,5.4717613978494626,5.0086220738260927,4.6957856856039903,9.691399999999998,8.1546559999999992,8.9811198673065959
478,4,5.3117613978494624,3.7814741326777828,3.760635949533583,6.1207399999999978,9.0096680000000013,7.1985850629359298
479,4,5.1557613978494636,2.3359730103251479,3.2883047322389665,14.530799999999999,8.3198399999999992,7.961475705515479
480,4,4.9987613978494636,3.5392411746157073,3.6782887231104908,8.7828000000000017,6.8078399999999988,7.7384243700386683
