# d n0 p xi pair A_Q B_Q detM=2B_Q
13 1 157 39 (14, 15) 140 83 9
13 1 157 40 (14, 15) 45 123 89
13 1 157 37 (14, 15) 145 85 13
13 1 157 46 (14, 15) 103 109 61
13 1 157 19 (14, 15) 50 66 132
13 1 157 100 (14, 15) 62 140 123
13 1 157 14 (14, 15) 11 16 32
13 1 157 115 (14, 15) 64 36 72
13 1 157 126 (14, 15) 4 35 70
13 1 157 93 (14, 15) 151 112 67
13 1 157 35 (14, 15) 94 69 138
13 1 157 52 (14, 15) 77 87 17
15 1 271 1 (16, 17) 34 14 28
15 1 271 44 (16, 17) 60 241 211
15 1 271 39 (16, 17) 149 139 7
15 1 271 90 (16, 17) 51 32 64
15 1 271 166 (16, 17) 204 186 101
15 1 271 258 (16, 17) 251 222 173
15 1 271 241 (16, 17) 45 91 182
15 1 271 35 (16, 17) 140 166 61
15 1 271 185 (16, 17) 159 107 214
15 1 271 10 (16, 17) 8 161 51
15 1 271 169 (16, 17) 42 184 97
15 1 271 119 (16, 17) 257 230 189
15 1 271 87 (16, 17) 141 22 44
15 1 271 34 (16, 17) 227 261 251
15 1 271 141 (16, 17) 255 242 213
15 1 271 242 (16, 17) 83 131 262
15 1 271 79 (16, 17) 83 59 118
15 1 271 224 (16, 17) 244 73 146
15 1 271 100 (16, 17) 163 59 118
15 1 271 64 (16, 17) 132 146 21
15 1 271 106 (16, 17) 225 158 45
15 1 271 57 (16, 17) 130 10 20
15 1 271 69 (16, 17) 240 241 211
15 1 271 55 (16, 17) 197 140 9
15 1 271 252 (16, 17) 128 70 140
15 1 271 248 (16, 17) 97 255 239
15 1 271 72 (16, 17) 110 138 5
15 1 271 187 (16, 17) 264 42 84
15 1 271 98 (16, 17) 127 255 239
15 1 271 247 (16, 17) 68 106 212
15 1 271 28 (16, 17) 16 39 78
15 1 271 148 (16, 17) 13 114 228
15 1 271 8 (16, 17) 239 23 46
15 1 271 81 (16, 17) 127 163 55
