# d n0 p xi order Theta
#   d   n 0
13 1 157 67 13 4
13 1 157 113 39 23
13 1 157 132 39 148
13 1 157 75 13 20
13 1 157 89 39 92
13 1 157 47 39 74
13 1 157 16 13 78
13 1 157 109 39 15
13 1 157 144 3 41
13 1 157 39 13 22
13 1 157 40 39 8
13 1 157 37 39 109
13 1 157 46 13 62
13 1 157 19 39 85
13 1 157 100 39 98
13 1 157 14 13 118
13 1 157 115 39 149
13 1 157 126 39 29
13 1 157 93 13 148
13 1 157 35 39 140
13 1 157 52 39 18
15 1 181 1 1 142
15 1 181 16 45 151
15 1 181 75 45 171
15 1 181 114 15 72
15 1 181 14 45 163
15 1 181 43 9 136
15 1 181 145 15 64
15 1 181 148 45 32
15 1 181 15 45 9
15 1 181 59 5 58
15 1 181 39 9 135
15 1 181 81 45 70
15 1 181 29 15 90
15 1 181 102 45 1
15 1 181 3 45 80
15 1 181 48 3 14
15 1 181 44 45 31
15 1 181 161 45 51
15 1 181 42 5 40
15 1 181 129 45 124
15 1 181 73 9 122
15 1 181 82 15 6
15 1 181 45 45 168
15 1 181 177 45 72
15 1 181 117 15 168
15 1 181 62 9 1
15 1 181 87 45 113
15 1 181 125 5 114
15 1 181 9 45 80
15 1 181 144 45 91
15 1 181 132 3 25
15 1 181 121 45 74
15 1 181 126 45 116
15 1 181 25 15 143
15 1 181 38 45 22
15 1 181 65 9 41
15 1 181 135 5 16
15 1 181 169 45 58
15 1 181 170 45 66
15 1 181 5 15 17
15 1 181 80 9 117
15 1 181 13 45 112
15 1 181 27 15 179
15 1 181 70 45 164
15 1 181 34 45 35
15 1 271 1 1 219
15 1 271 44 45 25
15 1 271 39 45 54
15 1 271 90 15 166
15 1 271 166 45 178
15 1 271 258 9 158
15 1 271 241 15 172
15 1 271 35 45 59
15 1 271 185 45 180
15 1 271 10 5 61
15 1 271 169 9 91
15 1 271 119 45 112
15 1 271 87 15 75
15 1 271 34 45 261
15 1 271 141 45 222
15 1 271 242 3 8
15 1 271 79 45 93
15 1 271 224 45 6
15 1 271 100 5 43
15 1 271 64 45 230
15 1 271 106 9 113
15 1 271 57 15 262
15 1 271 69 45 22
15 1 271 55 45 206
15 1 271 252 15 222
15 1 271 248 9 94
15 1 271 72 45 172
15 1 271 187 5 242
15 1 271 98 45 191
15 1 271 247 45 35
15 1 271 28 3 98
15 1 271 148 45 74
15 1 271 8 45 97
