# d n0 p xi Delta pivot-ok
13 1 157 147 131 1
13 1 157 30 117 1
13 1 157 67 1 1
13 1 157 113 149 1
13 1 157 132 45 1
13 1 157 75 15 1
13 1 157 89 79 1
13 1 157 47 106 1
13 1 157 16 124 1
13 1 157 109 96 1
13 1 157 144 155 1
13 1 157 39 108 1
13 1 157 40 119 1
13 1 157 37 40 1
13 1 157 46 93 1
13 1 157 19 4 1
13 1 157 100 94 1
13 1 157 14 86 1
13 1 157 115 144 1
13 1 157 126 80 1
13 1 157 93 135 1
13 1 157 35 5 1
13 1 157 52 129 1
15 1 181 1 147 1
15 1 181 16 125 1
15 1 181 75 109 1
15 1 181 114 15 1
15 1 181 14 179 1
15 1 181 43 30 1
15 1 181 145 63 1
15 1 181 148 41 1
15 1 181 15 139 1
15 1 181 59 48 1
15 1 181 39 55 1
15 1 181 81 111 1
15 1 181 29 95 1
15 1 181 102 114 1
15 1 181 3 164 1
15 1 181 48 22 1
15 1 181 44 131 1
15 1 181 161 125 1
15 1 181 42 77 1
15 1 181 129 70 1
15 1 181 73 171 1
15 1 181 82 45 1
15 1 181 45 151 1
15 1 181 177 13 1
15 1 181 117 3 1
15 1 181 62 118 1
15 1 181 87 25 1
15 1 181 125 32 1
15 1 181 9 119 1
15 1 181 144 93 1
15 1 181 132 8 1
15 1 181 121 167 1
15 1 181 126 163 1
15 1 181 25 112 1
15 1 181 38 11 1
15 1 181 65 49 1
15 1 181 135 146 1
15 1 181 169 45 1
15 1 181 170 40 1
15 1 181 5 165 1
15 1 181 80 68 1
15 1 181 13 130 1
15 1 181 27 101 1
15 1 181 70 3 1
15 1 181 34 91 1
15 1 271 1 192 1
15 1 271 44 34 1
15 1 271 39 131 1
15 1 271 90 41 1
15 1 271 166 216 1
15 1 271 258 81 1
15 1 271 241 58 1
15 1 271 35 232 1
15 1 271 185 190 1
15 1 271 10 39 1
15 1 271 169 101 1
15 1 271 119 208 1
15 1 271 87 136 1
15 1 271 34 267 1
15 1 271 141 171 1
15 1 271 242 29 1
15 1 271 79 258 1
15 1 271 224 58 1
15 1 271 100 252 1
15 1 271 64 - 0
15 1 271 106 232 1
15 1 271 57 73 1
15 1 271 69 115 1
15 1 271 55 54 1
15 1 271 252 186 1
15 1 271 248 78 1
15 1 271 72 186 1
15 1 271 187 118 1
15 1 271 98 126 1
15 1 271 247 99 1
15 1 271 28 247 1
15 1 271 148 238 1
15 1 271 8 265 1
15 1 271 81 110 1
15 1 271 41 55 1
15 1 271 178 101 1
15 1 271 244 168 1
15 1 271 167 255 1
15 1 271 31 172 1
15 1 271 9 176 1
15 1 271 125 139 1
15 1 271 80 34 1
15 1 271 268 194 1
15 1 271 139 42 1
15 1 271 154 269 1
3 2 19 1 2 1
3 2 19 4 16 1
3 2 19 16 1 1
3 2 19 7 11 1
3 2 19 9 17 1
3 2 19 17 5 1
3 2 19 11 0 1
3 2 19 6 - 0
3 2 19 5 5 1
3 2 37 1 10 1
3 2 37 16 29 1
3 2 37 34 32 1
3 2 37 26 31 1
3 2 37 9 31 1
3 2 37 33 14 1
3 2 37 10 36 1
3 2 37 12 33 1
3 2 37 7 2 1
5 2 31 1 28 1
5 2 31 9 28 1
5 2 31 19 2 1
5 2 31 16 4 1
5 2 31 20 13 1
5 2 31 25 9 1
5 2 31 8 27 1
5 2 31 10 22 1
5 2 31 28 9 1
5 2 31 4 23 1
5 2 31 5 6 1
5 2 31 14 17 1
5 2 31 2 14 1
5 2 31 18 14 1
5 2 31 7 24 1
5 2 61 1 42 1
5 2 61 16 6 1
5 2 61 12 45 1
5 2 61 9 16 1
5 2 61 22 7 1
5 2 61 47 53 1
5 2 61 20 41 1
5 2 61 15 11 1
5 2 61 57 45 1
5 2 61 58 45 1
5 2 61 13 42 1
5 2 61 25 58 1
5 2 61 34 47 1
5 2 61 56 42 1
5 2 61 42 22 1
7 2 43 1 15 1
7 2 43 9 40 1
7 2 43 38 9 1
7 2 43 41 3 1
7 2 43 25 - 0
7 2 43 10 18 1
7 2 43 4 11 1
7 2 43 36 38 1
7 2 43 23 28 1
7 2 43 35 20 1
7 2 43 14 29 1
7 2 43 40 40 1
7 2 43 16 25 1
7 2 43 15 18 1
7 2 43 6 24 1
7 2 43 11 1 1
7 2 43 13 12 1
7 2 43 31 41 1
7 2 43 21 29 1
7 2 43 17 18 1
7 2 43 24 29 1
7 2 127 1 32 1
7 2 127 94 93 1
7 2 127 73 93 1
7 2 127 4 55 1
7 2 127 122 61 1
7 2 127 38 48 1
7 2 127 16 97 1
7 2 127 107 107 1
7 2 127 25 106 1
7 2 127 64 119 1
7 2 127 47 46 1
7 2 127 100 33 1
7 2 127 2 67 1
7 2 127 61 25 1
7 2 127 19 46 1
7 2 127 8 47 1
7 2 127 117 109 1
7 2 127 76 23 1
7 2 127 32 24 1
7 2 127 87 118 1
7 2 127 50 86 1
9 2 109 1 76 1
9 2 109 97 17 1
9 2 109 35 92 1
9 2 109 16 106 1
9 2 109 26 71 1
9 2 109 15 100 1
9 2 109 38 48 1
9 2 109 89 59 1
9 2 109 22 94 1
9 2 109 63 37 1
9 2 109 7 87 1
9 2 109 25 100 1
9 2 109 27 108 1
9 2 109 3 7 1
9 2 109 73 104 1
9 2 109 105 96 1
9 2 109 48 3 1
9 2 109 78 94 1
9 2 109 45 94 1
9 2 109 5 77 1
9 2 109 49 103 1
9 2 109 66 46 1
9 2 109 80 32 1
9 2 109 21 1 1
9 2 109 75 19 1
9 2 109 81 74 1
9 2 109 9 81 1
9 2 163 1 116 1
9 2 163 64 128 1
9 2 163 21 105 1
9 2 163 40 116 1
9 2 163 115 23 1
9 2 163 25 162 1
9 2 163 133 6 1
9 2 163 36 157 1
9 2 163 22 44 1
9 2 163 104 78 1
9 2 163 136 123 1
9 2 163 65 139 1
9 2 163 85 128 1
9 2 163 61 102 1
9 2 163 155 67 1
9 2 163 140 81 1
9 2 163 158 8 1
9 2 163 6 22 1
9 2 163 58 116 1
9 2 163 126 56 1
9 2 163 77 8 1
9 2 163 38 30 1
9 2 163 150 76 1
9 2 163 146 159 1
9 2 163 53 69 1
9 2 163 132 125 1
9 2 163 135 17 1
11 2 67 1 23 1
11 2 67 4 - 0
11 2 67 16 25 1
11 2 67 64 65 1
11 2 67 55 23 1
11 2 67 19 26 1
11 2 67 9 55 1
11 2 67 36 21 1
11 2 67 10 43 1
11 2 67 40 39 1
11 2 67 26 46 1
11 2 67 37 26 1
11 2 67 14 11 1
11 2 67 56 38 1
11 2 67 23 54 1
11 2 67 25 18 1
11 2 67 33 43 1
11 2 67 65 28 1
11 2 67 59 26 1
11 2 67 35 42 1
11 2 67 6 8 1
11 2 67 24 27 1
11 2 67 29 64 1
11 2 67 49 55 1
11 2 67 62 60 1
11 2 67 47 31 1
11 2 67 54 56 1
11 2 67 15 8 1
11 2 67 60 36 1
11 2 67 39 13 1
11 2 67 22 0 1
11 2 67 21 54 1
11 2 67 17 52 1
11 2 199 1 157 1
11 2 199 132 80 1
11 2 199 111 41 1
11 2 199 125 10 1
11 2 199 182 79 1
11 2 199 144 111 1
11 2 199 103 79 1
11 2 199 64 68 1
11 2 199 90 180 1
11 2 199 139 36 1
11 2 199 40 13 1
11 2 199 106 31 1
11 2 199 62 101 1
11 2 199 25 192 1
11 2 199 116 158 1
11 2 199 188 159 1
11 2 199 140 146 1
11 2 199 172 143 1
11 2 199 18 134 1
11 2 199 187 193 1
11 2 199 8 137 1
11 2 199 61 89 1
11 2 199 92 24 1
11 2 199 5 152 1
11 2 199 63 39 1
11 2 199 157 120 1
11 2 199 28 95 1
11 2 199 114 70 1
11 2 199 123 75 1
11 2 199 117 12 1
11 2 199 121 178 1
11 2 199 52 177 1
11 2 199 98 31 1
13 2 79 1 59 1
13 2 79 9 49 1
13 2 79 2 23 1
13 2 79 18 13 1
13 2 79 4 0 1
13 2 79 36 55 1
13 2 79 8 78 1
13 2 79 72 18 1
13 2 79 16 30 1
13 2 79 65 10 1
13 2 79 32 20 1
13 2 79 51 38 1
13 2 79 64 69 1
13 2 79 23 24 1
13 2 79 49 46 1
13 2 79 46 70 1
13 2 79 19 7 1
13 2 79 13 49 1
13 2 79 38 49 1
13 2 79 26 16 1
13 2 79 76 7 1
13 2 79 52 35 1
13 2 79 73 45 1
13 2 79 25 3 1
13 2 79 67 28 1
13 2 79 50 3 1
13 2 79 55 11 1
13 2 79 21 14 1
13 2 79 31 60 1
13 2 79 42 17 1
13 2 79 62 16 1
13 2 79 5 61 1
13 2 79 45 39 1
13 2 79 10 36 1
13 2 79 11 7 1
13 2 79 20 66 1
13 2 79 22 48 1
13 2 79 40 32 1
13 2 79 44 65 1
13 2 157 1 88 1
13 2 157 154 59 1
13 2 157 9 25 1
13 2 157 130 46 1
13 2 157 81 102 1
13 2 157 71 37 1
13 2 157 101 148 1
13 2 157 11 95 1
13 2 157 124 141 1
13 2 157 99 49 1
13 2 157 17 85 1
13 2 157 106 144 1
13 2 157 153 16 1
13 2 157 12 56 1
13 2 157 121 58 1
13 2 157 108 104 1
13 2 157 147 110 1
13 2 157 30 43 1
13 2 157 67 111 1
13 2 157 113 130 1
13 2 157 132 47 1
13 2 157 75 108 1
13 2 157 89 123 1
13 2 157 47 27 1
13 2 157 16 136 1
13 2 157 109 127 1
13 2 157 144 104 1
13 2 157 39 1 1
13 2 157 40 20 1
13 2 157 37 57 1
13 2 157 46 29 1
13 2 157 19 120 1
13 2 157 100 110 1
13 2 157 14 73 1
13 2 157 115 20 1
13 2 157 126 131 1
13 2 157 93 31 1
13 2 157 35 85 1
13 2 157 52 31 1
15 2 181 1 104 1
15 2 181 16 2 1
15 2 181 75 11 1
15 2 181 114 135 1
15 2 181 14 97 1
15 2 181 43 1 1
15 2 181 145 101 1
